arch,bin,func,depth
amd64,dirname,dbg.last_component,6
amd64,id,sym.quotearg_custom_mem,2
amd64,nohup,dbg.xzalloc,2
amd64,uniq,dbg.version_etc,0
amd64,id,dbg.mgetgroups,0
amd64,nohup,dbg.locale_charset,2
amd64,uniq,dbg.close_stdout,0
amd64,dirname,dbg.usage,0
amd64,realpath,sym.gettext_quote.part.0,0
amd64,nohup,dbg.fd_reopen,2
amd64,id,dbg.close_stream,0
amd64,realpath,dbg.record_file,4
amd64,dirname,dbg.version_etc,0
amd64,uniq,sym.x2nrealloc,0
amd64,nohup,sym.quotearg_n_style_mem,2
amd64,realpath,dbg.ximemdup,2
amd64,dirname,dbg.main,6
amd64,nohup,sym.quotearg_style_mem,2
amd64,id,dbg.print_group_list,9
amd64,dirname,sym.quotearg_custom_mem,2
amd64,id,dbg.rpl_fflush,2
amd64,dirname,dbg.quotearg_colon_mem,2
amd64,id,dbg.quotearg_free,4
amd64,nohup,dbg.main,0
amd64,uniq,dbg.freopen_safer,0
amd64,dirname,sym.gettext_quote.part.0,0
amd64,nohup,dbg.file_name_concat,2
amd64,dirname,sym.xicalloc,2
amd64,nohup,dbg.version_etc,0
amd64,nohup,dbg.close_stdout,0
amd64,dirname,dbg.locale_charset,2
amd64,realpath,dbg.canonicalize_filename_mode,0
amd64,id,dbg.parse_with_separator,0
amd64,nohup,dbg.close_stream,0
amd64,dirname,sym.dir_len,3
amd64,id,sym.xmalloc,2
amd64,dirname,sym.quotearg_n_style_mem,2
amd64,realpath,dbg.rpl_fclose,0
amd64,nohup,dbg.rpl_fclose,0
amd64,dirname,sym.quotearg_style_mem,2
amd64,id,sym.xcalloc,2
amd64,nohup,dbg.xcharalloc,2
amd64,realpath,dbg.hash_clear,7
amd64,id,sym.quotearg_n_custom_mem,2
amd64,dirname,sym.quotearg_n_custom_mem,2
amd64,realpath,sym.quotearg_n_options,4
amd64,id,sym.quotearg_n_style,2
amd64,dirname,sym.quotearg_n_style,2
amd64,nohup,dbg.ximemdup0,2
amd64,realpath,dbg.usage,0
amd64,id,dbg.parse_user_spec,0
amd64,dirname,dbg.xirealloc,2
amd64,id,dbg.rpl_fseeko,4
amd64,realpath,sym.quotearg_char_mem,2
amd64,dirname,sym.quotearg_style,2
amd64,dirname,dbg.x2realloc,0
amd64,id,entry.fini0,4
amd64,realpath,dbg.version_etc_arn,0
amd64,nohup,dbg.mfile_name_concat,4
amd64,id,sym.quotearg_style,2
amd64,dirname,sym.quotearg_char_mem,2
amd64,realpath,dbg.xnmalloc,2
amd64,nohup,sym.x2nrealloc,0
amd64,id,dbg.version_etc_arn,0
amd64,id,dbg.version_etc_ar,4
amd64,id,sym.quotearg_char_mem,2
amd64,nohup,sym.xrealloc,0
amd64,realpath,sym.xmalloc,2
amd64,id,dbg.xinmalloc,2
amd64,realpath,dbg.quotearg_alloc_mem,2
amd64,nohup,dbg.xnmalloc,2
amd64,realpath,dbg.hash_string,4
amd64,id,dbg.rpl_mbrtowc,2
amd64,nohup,dbg.set_program_name,5
amd64,realpath,dbg.rpl_fseeko,4
amd64,id,dbg.usage,0
amd64,realpath,sym._init,2
amd64,realpath,dbg.setlocale_null_r,0
amd64,id,dbg.xnrealloc,0
amd64,nohup,sym.quotearg_custom_mem,2
amd64,id,dbg.quotearg_colon,2
amd64,nohup,dbg.parse_long_options,0
amd64,realpath,dbg.close_stream,0
amd64,nohup,sym.ximalloc,2
amd64,id,sym.quotearg_n_style_colon,2
amd64,id,dbg.xzalloc,2
amd64,realpath,entry.init0,2
amd64,realpath,dbg.version_etc_ar,4
amd64,id,sym.xireallocarray,2
amd64,realpath,dbg.hash_pjw,4
amd64,realpath,sym.isdir,2
amd64,id,dbg.xstrdup,2
amd64,uniq,sym.quotearg_buffer_restyled,0
amd64,uniq,sym.quotearg_char,2
amd64,realpath,dbg.xnrealloc,0
amd64,uniq,sym.xrealloc,0
amd64,id,dbg.setlocale_null_r,0
amd64,uniq,sym.xicalloc,2
amd64,uniq,dbg.xstrdup,2
amd64,uniq,sym.quotearg_n_style_mem,2
amd64,realpath,dbg.path_prefix,6
amd64,realpath,sym.xmemdup,2
amd64,uniq,dbg.version_etc_arn,0
amd64,id,sym.xreallocarray,0
amd64,realpath,sym.xireallocarray,2
amd64,realpath,dbg.quotearg_free,4
amd64,uniq,sym.quotearg_style_mem,2
amd64,id,dbg.ximemdup0,2
amd64,realpath,sym.hash_lookup,4
amd64,uniq,entry.fini0,4
amd64,uniq,dbg.usage,0
amd64,id,entry.init0,2
amd64,nohup,sym.quotearg_buffer_restyled,0
amd64,id,dbg.locale_charset,2
amd64,uniq,sym.ximalloc,2
amd64,nohup,sym.xicalloc,2
amd64,uniq,dbg.xzalloc,2
amd64,nohup,sym.xireallocarray,2
amd64,id,sym.quotearg_n_options,4
amd64,nohup,dbg.ximemdup,2
amd64,uniq,sym.quotearg_n_options,4
amd64,uniq,sym.argmatch_exact,4
amd64,id,sym.set_custom_quoting,1
amd64,uniq,dbg.argmatch_to_argument,4
amd64,nohup,dbg.version_etc_arn,0
amd64,id,sym.xrealloc,0
amd64,nohup,sym.quotearg_n_custom_mem,2
amd64,uniq,dbg.xpalloc,0
amd64,nohup,sym.quotearg_n_style,2
amd64,nohup,dbg.xirealloc,2
amd64,id,dbg.rpl_fclose,0
amd64,nohup,sym.quotearg_style,2
amd64,nohup,dbg.setlocale_null_r,0
amd64,uniq,dbg.quotearg_alloc_mem,2
amd64,nohup,sym.quotearg_char_mem,2
amd64,id,dbg.version_etc,0
amd64,nohup,sym.xmalloc,2
amd64,uniq,dbg.xcharalloc,2
amd64,nohup,sym.gettext_quote.part.0,0
amd64,nohup,sym.xmemdup,2
amd64,uniq,dbg.xizalloc,2
amd64,id,sym.x2nrealloc,0
amd64,id,dbg.close_stdout,0
amd64,uniq,dbg.quotearg_colon,2
amd64,nohup,entry.fini0,4
amd64,nohup,dbg.quotearg_colon,2
amd64,uniq,dbg.ximemdup0,2
amd64,nohup,sym.quotearg_n_style_colon,2
amd64,id,dbg.print_stuff,0
amd64,uniq,entry.init0,2
amd64,id,sym.quotearg_n_custom,2
amd64,nohup,dbg.last_component,6
amd64,uniq,dbg.rpl_fflush,2
amd64,id,dbg.ximemdup,2
